Natur,1967.0,0.0
Navn,9029.0,0.0
New,0.0,2004.0
No,10138.0,0.0
Noen,0.0,3896.0
Nogen,3023.0,0.0
Noget,3262.0,0.0
Nogle,2017.0,0.0
Norsk,0.0,3799.0
Norske,0.0,1837.0
November,1831.0,0.0
Nr,2212.0,0.0
Nu,8663.0,0.0
Nå,0.0,5949.0
Når,0.0,13247.0
OG,0.0,4119.0
Ogsaa,3298.0,0.0
Også,0.0,3505.0
Ord,14834.0,0.0
Ordet,2604.0,0.0
Paa,12552.0,0.0
Par,3193.0,0.0
Paris,2759.0,0.0
Paulus,2684.0,0.0
Penge,2634.0,0.0
Per,0.0,2052.0
Person,2042.0,0.0
Personer,1888.0,0.0
Peter,2198.0,0.0
Plads,2389.0,0.0
Postadr,0.0,6662.0
Pr,1948.0,0.0
På,0.0,12904.0
RRR,0.0,2462.0
Raad,2005.0,0.0
Res,1922.0,0.0
Resolution,2933.0,0.0
Ret,5278.0,0.0
Rige,3384.0,0.0
Rom,3004.0,0.0
Rt,0.0,2086.0
Sa,2253.0,0.0
Saa,11617.0,0.0
Saaledes,4408.0,0.0
Sag,4635.0,0.0
Sagen,3775.0,0.0
Sager,2134.0,0.0
Samtidig,0.0,1845.0
Sandhed,1898.0,0.0
Seiv,0.0,2632.0
September,2083.0,0.0
Side,10612.0,0.0
Skade,2375.0,0.0
Skib,2248.0,0.0
Skibe,2014.0,0.0
Skibet,2319.0,0.0
Skogn,0.0,1628.0
Skyld,4946.0,0.0
Slags,4103.0,0.0
Slik,0.0,2647.0
Sofie,0.0,1832.0
Sogn,3770.0,0.0
Son,3121.0,0.0
Sp,3468.0,0.0
Spd,6787.0,0.0
Sprog,2352.0,0.0
St,10370.0,0.0
Stand,1929.0,0.0
Stang,0.0,3041.0
Statens,0.0,1782.0
Sted,8024.0,0.0
Steder,3309.0,0.0
Stedet,1858.0,0.0
Stilling,3177.0,0.0
Stjørdal,0.0,2066.0
Storthinget,2597.0,0.0
Stortinget,0.0,2003.0
Stund,2079.0,0.0
Stykke,2136.0,0.0
Synd,2902.0,0.0
Synden,2020.0,0.0
Synder,2287.0,0.0
Så,0.0,9599.0
Tabell,0.0,2775.0
Tag,1891.0,0.0
Tak,1947.0,0.0
Tale,2765.0,0.0
Tanker,2248.0,0.0
Thi,8245.0,0.0
Tid,18038.0,0.0
Tiden,4006.0,0.0
Tider,2061.0,0.0
Tilfcelde,2172.0,0.0
Tilfælde,2642.0,0.0
Ting,6253.0,0.0
Tjeneste,2239.0,0.0
Tro,4352.0,0.0
Troen,3868.0,0.0
Trondheim,0.0,2024.0
Trondhjem,2425.0,0.0
USA,0.0,2342.0
Udt,4099.0,0.0
Uthus,0.0,2116.0
VI,2123.0,0.0
Vand,3209.0,0.0
Varer,1894.0,0.0
Vedkommende,2357.0,0.0
Vei,3927.0,0.0
Veien,2681.0,0.0
Velg,0.0,2043.0
Ven,2540.0,0.0
Venner,2032.0,0.0
Verden,7280.0,0.0
Verdens,2304.0,0.0
Videre,0.0,1973.0
Vil,2072.0,0.0
Vor,1973.0,0.0
Word,0.0,1606.0
Y,0.0,1642.0
aa,8288.0,0.0
aabne,1865.0,0.0
aar,13989.0,0.0
aarlig,3375.0,0.0
ab,2980.0,0.0
aber,2149.0,0.0
ad,5926.0,0.0
adgang,0.0,2110.0
aff,1944.0,0.0
ag,2078.0,0.0
agenten,0.0,1607.0
ai,2136.0,0.0
ak,3335.0,0.0
akkurat,0.0,3286.0
aktuelle,0.0,1702.0
al,18586.0,0.0
aldeles,5346.0,0.0
alder,0.0,1777.0
aldri,0.0,8738.0
aldrig,12055.0,0.0
all,0.0,5892.0
aller,0.0,1969.0
alligevel,2395.0,0.0
alltid,0.0,8867.0
almindelig,4357.0,0.0
almindelige,5431.0,0.0
altid,10701.0,0.0
altsaa,9168.0,0.0
altså,0.0,7843.0
alvorlig,0.0,1909.0
am,3331.0,0.0
anben,2037.0,0.0
anden,25657.0,0.0
anderledes,1909.0,0.0
andet,14950.0,0.0
ang,6334.0,0.0
angaaende,4029.0,0.0
angaar,2493.0,0.0
anlegg,0.0,1696.0
annen,0.0,14614.0
annet,0.0,15233.0
ansatte,0.0,2645.0
ansees,3426.0,0.0
ansikt,0.0,1653.0
ansiktet,0.0,3227.0
ansvar,0.0,2965.0
antage,1855.0,0.0
antages,3333.0,0.0
antall,0.0,4651.0
anvendes,2748.0,0.0
arbeid,0.0,7601.0
arbeider,0.0,3114.0
atter,9114.0,0.0
auf,2898.0,0.0
august,0.0,2023.0
avgjørende,0.0,1713.0
avhengig,0.0,2063.0
avsnitt,0.0,2204.0
avtale,0.0,2334.0
ba,10873.0,0.0
baade,9731.0,0.0
bag,3163.0,0.0
bak,0.0,4846.0
bakgrunn,0.0,1754.0
ban,4034.0,0.0
barna,0.0,2989.0
barnet,0.0,4029.0
basert,0.0,2138.0
beb,3357.0,0.0
bede,2904.0,0.0
beder,1903.0,0.0
bedriften,0.0,1870.0
bedrifter,0.0,2024.0
bedst,2579.0,0.0
bedste,4565.0,0.0
begrenset,0.0,1692.0
begynder,2708.0,0.0
begyndte,6198.0,0.0
begynne,0.0,1900.0
begynnelsen,0.0,1958.0
begynner,0.0,2451.0
begynte,0.0,5660.0
behandling,0.0,3210.0
behov,0.0,4628.0
bekjendt,2499.0,0.0
beløp,0.0,1738.0
bem,6275.0,0.0
ben,43501.0,0.0
benne,4465.0,0.0
ber,25090.0,0.0
beregnet,0.0,1604.0
berfor,2861.0,0.0
best,0.0,3136.0
bestaar,2902.0,0.0
beste,0.0,3683.0
bestemmelser,0.0,2325.0
består,0.0,2663.0
bet,39211.0,0.0
bette,4511.0,0.0
betyr,0.0,3440.0
bi,3903.0,0.0
bie,4322.0,0.0
big,5553.0,0.0
bilde,0.0,2037.0
bildet,0.0,1896.0
bilen,0.0,1920.0
bin,4210.0,0.0
bindv,0.0,2469.0
bit,2825.0,0.0
blandt,6787.0,0.0
blant,0.0,7821.0
ble,0.0,60113.0
bleve,2202.0,0.0
bleven,7779.0,0.0
blevet,2845.0,0.0
blevne,1967.0,0.0
blikk,0.0,1774.0
blit,2585.0,0.0
blitt,0.0,12930.0
blive,23982.0,0.0
bliver,17370.0,0.0
blot,9207.0,0.0
bo,2292.0,0.0
bog,5796.0,0.0
bok,0.0,1993.0
bord,0.0,1596.0
bordet,0.0,1677.0
bra,0.0,2796.0
bragt,2375.0,0.0
bragte,2423.0,0.0
bref,2069.0,0.0
brev,0.0,2331.0
bringe,3835.0,0.0
bror,0.0,1625.0
bruge,2371.0,0.0
bruges,2121.0,0.0
bruk,0.0,7822.0
bruke,0.0,6515.0
bruker,0.0,4068.0
brukes,0.0,5688.0
brukt,0.0,4179.0
brukte,0.0,1947.0
bu,9321.0,0.0
bygd,0.0,1731.0
bygge,0.0,2176.0
bygget,1922.0,0.0
både,0.0,14044.0
bære,4041.0,0.0
ca,0.0,1871.0
cn,1878.0,0.0
cos,0.0,1583.0
dage,4433.0,0.0
dagen,0.0,3610.0
dagens,0.0,1905.0
dager,0.0,4735.0
daglig,1883.0,0.0
danner,2447.0,0.0
danske,3992.0,0.0
das,3299.0,0.0
data,0.0,2213.0
deg,0.0,17806.0
dekket,0.0,1960.0
dele,2281.0,0.0
delen,0.0,1853.0
deler,0.0,4140.0
delvis,0.0,2217.0
dengang,2354.0,0.0
deraf,5022.0,0.0
derav,0.0,2401.0
dere,0.0,5787.0
derefter,3757.0,0.0
deretter,0.0,2588.0
derhos,2101.0,0.0
deri,3713.0,0.0
derimod,5684.0,0.0
derimot,0.0,2439.0
derom,3495.0,0.0
derpaa,4729.0,0.0
dertil,6497.0,0.0
derved,7618.0,0.0
des,4859.0,0.0
desember,0.0,1827.0
dessuten,0.0,2917.0
desuden,3018.0,0.0
die,11815.0,0.0
direkte,0.0,5223.0
ditt,0.0,3311.0
do,3530.0,0.0
dokumentet,0.0,1741.0
dra,0.0,1791.0
drive,1885.0,0.0
dro,0.0,1787.0
drog,2645.0,0.0
dyp,0.0,1590.0
dyrket,0.0,4741.0
dårlig,0.0,2681.0
døren,0.0,2827.0
eb,5173.0,0.0
eder,3831.0,0.0
eders,2043.0,0.0
een,3332.0,0.0
efterat,3268.0,0.0
egentlige,1849.0,0.0
egg,0.0,1580.0
eie,0.0,3301.0
eiendom,0.0,1817.0
eier,0.0,6820.0
eine,2212.0,0.0
ej,2338.0,0.0
ek,2002.0,0.0
eksempel,0.0,9764.0
eksempler,0.0,1588.0
eldre,0.0,3065.0
elevene,0.0,3098.0
elever,0.0,1956.0
enb,4845.0,0.0
enbnu,2061.0,0.0
end,46694.0,0.0
enda,0.0,4563.0
endda,1912.0,0.0
ende,1903.0,0.0
endel,2294.0,0.0
endnu,17767.0,0.0
endog,6203.0,0.0
endringer,0.0,2369.0
engelske,2264.0,0.0
enn,0.0,32909.0
ennå,0.0,3367.0
ens,1998.0,0.0
ere,25284.0,0.0
erfaring,0.0,1668.0
erstatning,0.0,2234.0
es,3107.0,0.0
ester,3828.0,0.0
ethvert,3032.0,0.0
etsj,0.0,6588.0
eu,2017.0,0.0
eventuelt,0.0,2322.0
evig,2093.0,0.0
evige,2228.0,0.0
evne,0.0,1651.0
fa,2057.0,0.0
faa,41337.0,0.0
faaet,4983.0,0.0
faar,11388.0,0.0
faat,2308.0,0.0
fagbe,2580.0,0.0
faktisk,0.0,2768.0
falde,2760.0,0.0
falder,3135.0,0.0
faldt,4515.0,0.0
fall,0.0,4409.0
faller,0.0,2184.0
familien,0.0,2004.0
famme,2703.0,0.0
fan,8267.0,0.0
fandt,6697.0,0.0
fandtes,2703.0,0.0
fant,0.0,4412.0
faren,0.0,1948.0
fat,2870.0,0.0
fe,5022.0,0.0
februar,0.0,1720.0
feil,0.0,2862.0
felles,0.0,3450.0
fer,2097.0,0.0
ferdig,0.0,2686.0
ffal,3973.0,0.0
ffulbe,1846.0,0.0
fig,17667.0,0.0
figer,2261.0,0.0
figur,0.0,1800.0
fik,15820.0,0.0
fikk,0.0,16913.0
fin,11188.0,0.0
finde,6758.0,0.0
finder,4329.0,0.0
findes,8391.0,0.0
fine,5409.0,0.0
finne,0.0,7478.0
finner,0.0,5896.0
finnes,0.0,7273.0
firir,2213.0,0.0
fit,4130.0,0.0
fo,2397.0,0.0
fom,23534.0,0.0
font,2603.0,0.0
forat,2048.0,0.0
fordel,0.0,1739.0
fore,3105.0,0.0
foregaaende,1997.0,0.0
forekommer,2155.0,0.0
foreldre,0.0,12873.0
foreldrene,0.0,1585.0
foreligger,0.0,1694.0
forholdene,0.0,1626.0
forholdet,0.0,2849.0
forholdsvis,0.0,1607.0
formedelst,2410.0,0.0
former,0.0,2016.0
formål,0.0,1686.0
forn,18380.0,0.0
forrige,2127.0,0.0
forsaavidt,2736.0,0.0
forskjellig,0.0,1810.0
forskning,0.0,2023.0
forst,1832.0,0.0
forste,2035.0,0.0
forstå,0.0,2649.0
forståa,1900.0,0.0
forstår,0.0,1760.0
forsøk,0.0,1977.0
fortelle,0.0,2303.0
forteller,0.0,2053.0
fortsatt,0.0,3497.0
fortsatte,0.0,2424.0
foruden,2509.0,0.0
fram,0.0,9387.0
franske,1935.0,0.0
fred,0.0,1822.0
fremmed,1846.0,0.0
fremmede,3270.0,0.0
fremst,0.0,2619.0
frie,2158.0,0.0
frit,2171.0,0.0
from,0.0,1999.0
fru,1900.0,0.0
frå,0.0,2606.0
ftaa,1818.0,0.0
fuld,3542.0,0.0
fuldstændig,2400.0,0.0
